id,relative,candidate_speaker_count,graph_stable,screening_bucket,uncertainty_reasons
rec_58fc003d3817d900,session0/Camera-2024-06-21-103121-103102,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_a7fb646c817667b4,session0/Camera-2024-06-26-093649-093642,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_9cd5422091ab47d8,session0/Camera-2024-06-26-105024-105025,1,True,1_sustained_voice_candidate,[]
rec_1c064c7af80b1c1f,session0/Camera-2024-06-26-122334-122317,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_5680f436648ab129,session0/Camera-2024-06-26-151459-151413,1,True,1_sustained_voice_candidate,[]
rec_11e07af0df7a3441,session0/Camera-2024-06-26-160214-160213,1,True,1_sustained_voice_candidate,[]
rec_ba6deeca4ef8ab0c,session0/Camera-2024-06-28-103912-104008,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_f011b0b9a2198cd5,session0/Camera-2024-06-28-112322-112419,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_378d4dfd4530fe38,session0/Camera-2024-06-28-120152-120208,1,False,uncertain,"['neighbor_sensitivity', 'partition_sensitivity']"
rec_cc3fe3c6fbc642ef,session0/Camera-2024-06-28-153101-153104,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_9c167e84442d283d,session0/Camera-2024-06-28-160651-160703,1,True,1_sustained_voice_candidate,[]
rec_007c02ce44018220,session0/Camera-2024-06-28-164549-164628,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_6cacbc6b395df264,session0/Camera-2024-07-04-103805-103835,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_e2f19c0e6085fa26,session0/Camera-2024-07-04-112307-112347,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_892165fe161b5c3e,session0/Camera-2024-07-04-120006-120008,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_02b5ed315165cc00,session0/Camera-2024-07-08-120627-120613,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_9dce3591a4881d81,session0/Camera-2024-07-08-143054-143035,1,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_1e7e70e3840a8282,session0/Camera-2024-07-08-151240-151227,1,True,1_sustained_voice_candidate,[]
rec_9e053b999de99377,session0/Camera-2024-07-09-100427-100257,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_f3ce07c75aee6bf1,session0/Camera-2024-07-09-104540-104439,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
